v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    54.400000                       0.036692          0.000010
    54.500000                       0.037129          0.000010
    54.600000                       0.037577          0.000010
    54.700000                       0.038036          0.000010
    54.800000                       0.038507          0.000010
    54.900000                       0.038989          0.000010
    55.000000                       0.039484          0.000010
    55.100000                       0.039992          0.000010
    55.200000                       0.040513          0.000011
    55.300000                       0.041048          0.000011
    55.400000                       0.041598          0.000011
    55.500000                       0.042162          0.000011
    55.600000                       0.042742          0.000011
    55.700000                       0.043338          0.000011
    55.800000                       0.043950          0.000011
    55.900000                       0.044580          0.000012
    56.000000                       0.045227          0.000012
    56.100000                       0.045893          0.000012
    56.200000                       0.046579          0.000012
    56.300000                       0.047285          0.000012
    56.400000                       0.048012          0.000013
    56.500000                       0.048761          0.000013
    56.600000                       0.049533          0.000013
    56.700000                       0.050329          0.000013
    56.800000                       0.051149          0.000013
    56.900000                       0.051995          0.000014
    57.000000                       0.052869          0.000014
    57.100000                       0.053771          0.000014
    57.200000                       0.054702          0.000014
    57.300000                       0.055664          0.000015
    57.400000                       0.056659          0.000015
    57.500000                       0.057687          0.000015
    57.600000                       0.058751          0.000015
    57.700000                       0.059852          0.000016
    57.800000                       0.060993          0.000016
    57.900000                       0.062174          0.000016
    58.000000                       0.063398          0.000017
    58.100000                       0.064667          0.000017
    58.200000                       0.065983          0.000017
    58.300000                       0.067350          0.000018
    58.400000                       0.068769          0.000018
    58.500000                       0.070243          0.000018
    58.600000                       0.071776          0.000019
    58.700000                       0.073370          0.000019
    58.800000                       0.075029          0.000020
    58.900000                       0.076757          0.000020
    59.000000                       0.078557          0.000021
    59.100000                       0.080435          0.000021
    59.200000                       0.082393          0.000022
    59.300000                       0.084438          0.000022
    59.400000                       0.086574          0.000023
    59.500000                       0.088808          0.000023
    59.600000                       0.091145          0.000024
    59.700000                       0.093591          0.000024
    59.800000                       0.096155          0.000025
    59.900000                       0.098844          0.000026
    60.000000                       0.101666          0.000027
    60.100000                       0.104630          0.000027
    60.200000                       0.107746          0.000028
    60.300000                       0.111025          0.000029
    60.400000                       0.114479          0.000030
    60.500000                       0.118121          0.000031
    60.600000                       0.121965          0.000032
    60.700000                       0.126025          0.000033
    60.800000                       0.130320          0.000034
    60.900000                       0.134867          0.000035
    61.000000                       0.139687          0.000037
    61.100000                       0.144804          0.000038
    61.200000                       0.150240          0.000039
    61.300000                       0.156025          0.000041
