Angle,PSD
22.816,31
22.8313,31
22.8466,39
22.862,27
22.8773,21
22.8926,38
22.908,34
22.9233,27
22.9386,33
22.954,48
22.9693,45
22.9846,33
23,29
23.0153,29
23.0306,33
23.046,34
23.0613,36
23.0766,24
23.092,45
23.1073,33
23.1226,46
23.1379,44
23.1533,31
23.1686,33
23.1839,32
23.1993,30
23.2146,35
23.2299,41
23.2453,25
23.2606,33
23.2759,31
23.2913,25
23.3066,33
23.3219,33
23.3373,47
23.3526,35
23.3679,37
23.3833,25
23.3986,40
23.4139,34
23.4293,43
23.4446,27
23.4599,19
23.4753,27
23.4906,45
23.5059,37
23.5213,24
23.5366,48
23.5519,26
23.5672,34
23.5826,42
23.5979,23
23.6132,34
23.6286,36
23.6439,41
23.6592,45
23.6746,41
23.6899,35
23.7052,35
23.7206,41
23.7359,50
23.7512,37
23.7666,42
23.7819,37
23.7972,36
23.8126,42
23.8279,55
23.8432,40
23.8586,56
23.8739,63
23.8892,72
23.9046,64
23.9199,73
23.9352,65
23.9505,59
23.9659,48
23.9812,61
23.9965,67
24.0119,56
24.0272,72
24.0425,54
24.0579,67
24.0732,57
24.0885,67
24.1039,63
24.1192,63
24.1345,75
24.1499,84
24.1652,53
24.1805,65
24.1959,53
24.2112,54
24.2265,61
24.2419,57
24.2572,39
24.2725,60
24.2879,56
24.3032,46
24.3185,42
24.3339,47
24.3492,44
24.3645,47
24.3798,45
24.3952,42
24.4105,37
24.4258,43
24.4412,46
24.4565,50
24.4718,58
24.4872,59
24.5025,47
24.5178,55
24.5332,41
24.5485,54
24.5638,47
24.5792,75
24.5945,59
24.6098,64
24.6252,52
24.6405,57
24.6558,67
24.6712,79
24.6865,53
24.7018,72
24.7172,74
24.7325,69
24.7478,88
24.7631,103
24.7785,120
24.7938,121
24.8091,162
24.8245,193
24.8398,291
24.8551,467
24.8705,734
24.8858,1176
24.9011,1507
24.9165,1545
24.9318,2014
24.9471,3153
24.9625,4455
24.9778,4798
24.9931,3010
25.0085,2062
25.0238,2292
25.0391,2447
25.0545,1464
25.0698,678
25.0851,337
25.1005,277
25.1158,215
25.1311,185
25.1465,181
25.1618,187
25.1771,183
25.1924,161
25.2078,188
25.2231,207
25.2384,190
25.2538,173
25.2691,139
25.2844,140
25.2998,137
25.3151,134
25.3304,120
25.3458,105
25.3611,103
25.3764,104
25.3918,100
25.4071,79
25.4224,87
25.4378,55
25.4531,70
25.4684,65
25.4838,70
25.4991,58
25.5144,50
25.5298,62
25.5451,60
25.5604,54
25.5758,68
25.5911,67
25.6064,58
25.6217,45
25.6371,54
25.6524,63
25.6677,74
25.6831,60
25.6984,59
25.7137,60
25.7291,62
25.7444,61
25.7597,63
25.7751,62
25.7904,74
25.8057,69
25.8211,58
25.8364,62
25.8517,66
25.8671,79
25.8824,85
25.8977,80
25.9131,70
25.9284,103
25.9437,109
25.9591,115
25.9744,150
25.9897,173
26.005,253
26.0204,380
26.0357,637
26.051,904
26.0664,1165
26.0817,1380
26.097,1794
26.1124,2525
26.1277,3496
26.143,3788
26.1584,2792
26.1737,1881
26.189,1764
26.2044,1904
26.2197,1532
26.235,742
26.2504,382
26.2657,245
26.281,196
26.2964,159
26.3117,159
26.327,135
26.3424,132
26.3577,113
26.373,90
26.3884,93
26.4037,87
26.419,103
26.4343,59
26.4497,70
26.465,71
26.4803,64
26.4957,66
26.511,46
26.5263,57
26.5417,74
26.557,66
26.5723,52
26.5877,50
26.603,59
26.6183,62
26.6337,65
26.649,50
26.6643,66
26.6797,64
26.695,88
26.7103,79
26.7257,69
26.741,57
26.7563,50
26.7717,59
26.787,51
26.8023,57
26.8176,64
26.833,62
26.8483,54
26.8636,47
26.879,62
26.8943,70
26.9096,51
26.925,50
26.9403,50
26.9556,43
26.971,34
26.9863,48
27.0016,47
27.017,50
27.0323,45
27.0476,63
27.063,37
27.0783,37
27.0936,47
27.109,40
27.1243,52
27.1396,49
27.155,47
27.1703,49
27.1856,44
27.201,55
27.2163,43
27.2316,44
27.2469,39
27.2623,43
27.2776,46
27.2929,30
27.3083,36
27.3236,41
27.3389,41
27.3543,42
27.3696,33
27.3849,44
27.4003,36
27.4156,43
27.4309,46
27.4463,41
27.4616,39
27.4769,45
27.4923,35
27.5076,46
27.5229,43
27.5383,39
27.5536,46
27.5689,37
27.5843,39
27.5996,49
27.6149,48
27.6302,43
27.6456,55
27.6609,43
27.6762,43
27.6916,39
27.7069,41
27.7222,42
27.7376,41
27.7529,42
27.7682,40
27.7836,38
27.7989,49
27.8142,30
27.8296,25
27.8449,37
27.8602,40
27.8756,46
27.8909,38
27.9062,44
27.9216,41
27.9369,44
27.9522,47
27.9676,35
27.9829,47
27.9982,40
28.0136,52
28.0289,34
28.0442,36
28.0595,37
28.0749,24
28.0902,47
28.1055,38
28.1209,39
28.1362,47
28.1515,35
28.1669,35
28.1822,40
28.1975,32
28.2129,36
28.2282,30
28.2435,39
28.2589,38
28.2742,36
28.2895,28
28.3049,36
28.3202,48
28.3355,46
28.3509,51
28.3662,54
28.3815,81
28.3969,106
28.4122,129
28.4275,115
28.4428,151
28.4582,215
28.4735,287
28.4888,223
28.5042,169
28.5195,151
28.5348,141
28.5502,147
28.5655,105
28.5808,84
28.5962,49
28.6115,41
28.6268,36
28.6422,35
28.6575,36
28.6728,31
28.6882,29
28.7035,25
28.7188,31
28.7342,33
28.7495,31
28.7648,36
28.7802,38
28.7955,24
28.8108,33
28.8262,43
28.8415,32
28.8568,33
28.8721,32
28.8875,39
28.9028,34
28.9181,25
28.9335,39
28.9488,41
28.9641,40
28.9795,24
28.9948,36
29.0101,27
29.0255,33
29.0408,28
29.0561,21
29.0715,29
29.0868,31
29.1021,46
29.1175,39
29.1328,38
29.1481,43
29.1635,31
