,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5
46,46,231.92462311557787,1.2452904450555569,0.8599051589583389,0.385385286097218,5.975301383402778,5.930295571180555,0.04500581222222255,10.955567100625002,10.94919689965278,0.006370200972222406,15.959635024722225,15.963108870347222,-0.003473845624997196,20.935267393958334,20.979589346180557,-0.044321952222222905,25.670200268488887,26.050633353541667,-0.38043308505277906
47,47,236.94472361809045,1.246490415538891,0.8615621612500054,0.38492825428888555,5.975765756527778,5.931567653541667,0.04419810298611093,10.957803627916668,10.951056473333333,0.006747154583335302,15.961537303541668,15.965689330902775,-0.004152027361106647,20.937597706805555,20.982855431527778,-0.045257724722223,25.67356845071111,26.052880191597225,-0.3793117408861164
48,48,241.964824120603,1.2456010689416683,0.8614116079166749,0.3841894610249934,5.976674217083334,5.932569795208334,0.044104421874999744,10.959977432291668,10.951771224861112,0.008206207430555779,15.96408962875,15.967136160000003,-0.003046531250003426,20.93824537888889,20.98427929111111,-0.04603391222222086,25.67412696112778,26.055372426666665,-0.3812454655388855
49,49,246.98492462311555,1.2433299915805576,0.8607603553472308,0.38256963623332674,5.977833696180555,5.933756836597222,0.04407685958333296,10.961310157361112,10.954865698125,0.006444459236112365,15.968277578680556,15.971782827013888,-0.0035052483333313234,20.943415514375,20.990584551875,-0.04716903749999801,25.677016482724998,26.061203912500005,-0.3841874297750074
50,50,252.00502512562812,1.242575735886113,0.8593521007638975,0.38322363512221547,5.9759506954166675,5.93260570138889,0.043344994027777695,10.958935771250001,10.952903024305554,0.006032746944446998,15.96497974625,15.970050065902777,-0.0050703196527770444,20.940071138680555,20.988838635416666,-0.04876749673611158,25.676359537447222,26.06029668777778,-0.3839371503305564
51,51,257.0251256281407,1.2430950013027795,0.8585260688888895,0.38456893241389,5.976290055763889,5.931279485,0.045010570763889035,10.954531607708333,10.949249443333334,0.005282164374998288,15.960315478333333,15.966049648611111,-0.005734170277778006,20.937946216944443,20.984749881875004,-0.046803664930560984,25.66982807570833,26.056943453541667,-0.3871153778333358
52,52,262.04522613065325,1.2459607954694463,0.860114570277783,0.38584622519166323,5.978972999305556,5.932498217916667,0.0464747813888895,10.954554237291667,10.950049687222222,0.004504550069444946,15.959080451388887,15.966150977569445,-0.007070526180557479,20.937760702152776,20.984270988472225,-0.046510286319449534,25.669628227100002,26.056574640208332,-0.3869464131083298
53,53,267.0653266331658,1.2436942126250015,0.8573088296527879,0.3863853829722136,5.977150210486111,5.928938670208333,0.0482115402777783,10.950880308333332,10.946070331180557,0.004809977152774536,15.9575735875,15.963031684444445,-0.005458096944444435,20.937168650902777,20.98205179958333,-0.04488314868055454,25.668509148002773,26.055116231180556,-0.3866070831777826
54,54,272.0854271356784,1.2456048810972238,0.8604748916666727,0.3851299894305511,5.980299354652778,5.932134304027778,0.048165050625000205,10.955143999652778,10.950145104930556,0.004998894722222147,15.964070985625,15.967412978194444,-0.00334199256944423,20.94231971965278,20.98649691652778,-0.0441771968750011,25.67310645091944,26.059548625069446,-0.38644217415000526
55,55,277.10552763819095,1.2432502665833352,0.8579454165277853,0.3853048500555498,5.976366911944445,5.930216192083332,0.046150719861112854,10.953426671319445,10.948167786458335,0.005258884861110147,15.96471670888889,15.96480820923611,-9.150034722082978e-05,20.941464685555555,20.98444728701389,-0.0429826014583341,25.672943045430554,26.057325872708333,-0.38438282727777917
