,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3
49,49,246.98492462311555,1.269346050078125,0.8625800371875291,0.406766012890596,5.923185223204589,5.866910191484376,0.05627503172021342,10.761188286328126,10.819629359882814,-0.05844107355468786,15.418436822578126,15.825043408437502,-0.40660658585937526
50,50,252.00502512562812,1.2682388231640627,0.8609125608984651,0.40732626226559754,5.92274703394751,5.865969090117188,0.05677794383032175,10.760244622382814,10.8186056653125,-0.058361042929686135,15.417291712500003,15.823437716796878,-0.4061460042968754
51,51,257.0251256281407,1.2656664417578125,0.8586826488672159,0.4069837928905966,5.921754517614991,5.863592741601563,0.05816177601342787,10.758149803594483,10.816178173945314,-0.05802837035083108,15.416522383203127,15.820579025039065,-0.4040566418359379
52,52,262.04522613065325,1.2656527749609379,0.8602665643359657,0.40538621062497215,5.922684164997804,5.864916338320313,0.05776782667749103,10.757723010039795,10.81685918433594,-0.05913617429614426,15.417112139335938,15.820868422929689,-0.4037562835937507
53,53,267.0653266331658,1.2660260410546875,0.8623073179687772,0.4037187230859103,5.923000348316651,5.866617417812501,0.05638293050415033,10.761351523831056,10.81816486109375,-0.05681333726269422,15.420659579882813,15.823578331562501,-0.4029187516796888
54,54,272.0854271356784,1.2634867926171875,0.8617159068750269,0.4017708857421607,5.920044326327393,5.865669215664063,0.05437511066333034,10.759300156406251,10.816676323828126,-0.057376167421875124,15.419794991953125,15.821858577734375,-0.40206358578124934
55,55,277.10552763819095,1.2628456133984374,0.8630420634375274,0.39980354996090994,5.918644304684571,5.866385720742188,0.052258583942383474,10.762651577578126,10.817713404570313,-0.05506182699218698,15.422832596367188,15.824601058476564,-0.40176846210937533
56,56,282.1256281407035,1.2606225366015624,0.8619894413672151,0.3986330952343473,5.917880122811036,5.865514102929688,0.05236601988134826,10.761736592891358,10.815964078125,-0.054227485233642625,15.421877436328126,15.822697900859378,-0.4008204645312521
57,57,287.14572864321605,1.258676097265625,0.8620360062500299,0.39664009101559516,5.917622408085206,5.864919717187501,0.052702690897705295,10.762063506055421,10.816821797539063,-0.054758291483642196,15.423181052890627,15.822980823164064,-0.3997997702734377
58,58,292.1658291457286,1.2592638641015625,0.8639906650000269,0.3952731991015357,5.918802126838135,5.867070397929687,0.05173172890844757,10.7664632996875,10.819868332460938,-0.053405032773438776,15.42738597203125,15.826489320234376,-0.399103348203127
59,59,297.1859296482412,1.2607713508203124,0.8642730818359634,0.39649826898434903,5.9194036528928216,5.867251462265625,0.05215219062719623,10.765206044570313,10.819509590351565,-0.05430354578125218,15.42636476792969,15.823778419765626,-0.3974136518359366
60,60,302.20603015075375,1.2606929887890626,0.8637316515625272,0.39696133722653537,5.917435625627929,5.866469080625,0.050966545002928854,10.765193291561769,10.818971638945312,-0.05377834738354359,15.425861005625002,15.823612105898437,-0.3977511002734353
61,61,307.2261306532663,1.259370930078125,0.8606094816797164,0.39876144839840866,5.916558747267823,5.8643048116015635,0.052253935666259466,10.76459365905884,10.81627663042969,-0.051682971370849984,15.423089552929689,15.819180215625002,-0.3960906626953129
62,62,312.2462311557789,1.2565897108984374,0.8582441940234631,0.3983455168749743,5.913852582737304,5.862296312890626,0.05155626984667805,10.761080185581545,10.81488653074219,-0.05380634516064475,15.420970564765625,15.817737900390625,-0.39676733562500033
63,63,317.26633165829145,1.2541836974218752,0.8580227647265903,0.39616093269528485,5.911850368670411,5.8612695176953125,0.05058085097509846,10.759496789058108,10.813111689882813,-0.0536149008247051,15.419367495859376,15.8160900734375,-0.39672257757812446
64,64,322.286432160804,1.25277395859375,0.8575354023047157,0.39523855628903437,5.912393372029054,5.86085048875,0.051542883279053875,10.758880513241458,10.8123393925,-0.053458879258542424,15.419489949687502,15.815151693085937,-0.39566174339843485
65,65,327.30653266331655,1.2521598388281252,0.8577608366797158,0.3943990021484094,5.909028079921876,5.859585254453125,0.04944282546875112,10.755161439416993,10.811065318945314,-0.0559038795283211,15.419566029570314,15.814436315976565,-0.39487028640625077
66,66,332.3266331658291,1.253200885,0.859507964218777,0.3936929207812231,5.9129287867187506,5.861240517617189,0.05168826910156188,10.757014737774902,10.81261572734375,-0.05560098956884829,15.423107888203125,15.815597340976565,-0.3924894527734395
67,67,337.3467336683417,1.2548602084765625,0.8617517633594004,0.39310844511716214,5.916176581446045,5.863655364804688,0.052521216641356894,10.760270424727295,10.814239129726563,-0.0539687049992672,15.425059630429688,15.817413648984378,-0.39235401855468943
68,68,342.36683417085425,1.2571242385156252,0.8642747481250268,0.39284949039059835,5.916895602072509,5.864878315625,0.05201728644750947,10.761800976598636,10.815814848437501,-0.05401387183886541,15.425462730507814,15.818068363750001,-0.3926056332421872
69,69,347.3869346733668,1.2572700610546876,0.8650813519140894,0.3921887091405982,5.9176945759020985,5.8667683865625,0.05092618933959869,10.764476088627688,10.81855667765625,-0.05408058902856183,15.428728747812501,15.820401832031251,-0.39167308421875013
70,70,352.4070351758794,1.2584204879296876,0.8660872377734627,0.3923332501562249,5.917725612739502,5.868332357382814,0.04939325535668804,10.768082575815189,10.820835335859377,-0.0527527600441875,15.430240494375003,15.821258723476564,-0.3910182291015616
71,71,357.42713567839195,1.26001037171875,0.8673954105078372,0.3926149612109129,5.918773028130126,5.870069623750001,0.04870340438012466,10.771171538236331,10.823551281796878,-0.05237974356054664,15.433577975039064,15.823352146875001,-0.38977417183593666
