,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4
31,31,156.62311557788945,1.247668268757946,0.8595485336805745,0.3881197350773714,5.974952449652778,5.931037558958334,0.04391489069444443,10.946902193819446,10.946729751041667,0.00017244277777805905,15.920882953333335,15.96396475708333,-0.04308180374999537,20.646817625914696,21.034359239166665,-0.3875416132519689
32,32,161.643216080402,1.2520520915396967,0.8631958257639106,0.388856265775786,5.978145433680556,5.935738647708334,0.04240678597222214,10.95052743888889,10.950370444861111,0.00015699402777968885,15.923906447569443,15.966938843263888,-0.0430323956944445,20.64982529362303,21.03735250465278,-0.38752721102974874
33,33,166.66331658291455,1.2512780950813633,0.8621934126389061,0.3890846824424572,5.9772132252083345,5.933411587083333,0.04380163812500193,10.950653029166668,10.950152989652779,0.0005000395138896607,15.92333112076389,15.967353081666667,-0.04402196090277677,20.650162023621043,21.03800548,-0.3878434563789561
34,34,171.68341708542712,1.2526500375813632,0.8635215422916878,0.3891284952896754,5.9788449167361115,5.934693896736111,0.04415102000000015,10.953577115347223,10.951151962013888,0.0024251533333341513,15.925925474166668,15.968442074722223,-0.04251660055555462,20.649933108482156,21.04054860861111,-0.3906155001289555
35,35,176.7035175879397,1.2476386107738213,0.8590869259027918,0.38855168487102953,5.975386594861111,5.930766596666667,0.04461999819444351,10.948373368819444,10.947670668611112,0.0007027002083326295,15.920338256111112,15.963303925208335,-0.04296566909722266,20.644460703067477,21.03430289972222,-0.38984219665474384
36,36,181.72361809045225,1.2499806587559594,0.8616396509722376,0.3883410077837218,5.978346063263889,5.9328968118750005,0.04544925138888889,10.95189648888889,10.949416428055555,0.0024800608333350738,15.921417424375,15.965501818124999,-0.04408439374999773,20.647293878761918,21.036691735902778,-0.3893978571408603
37,37,186.7437185929648,1.2494161588293768,0.8615864066666865,0.38782975216269033,5.980695942916666,5.934395586597223,0.046300356319443736,10.953139982569446,10.950796171111111,0.0023438114583349545,15.922058128333333,15.966036670972224,-0.04397854263889123,20.64870643501192,21.036923402291666,-0.388216967279746
38,38,191.76381909547737,1.2522143141051683,0.8643747293750145,0.3878395847301538,5.983753169444444,5.937443768263888,0.046309401180556264,10.955727788819445,10.954050788750001,0.0016770000694439346,15.923607210833332,15.969852795069446,-0.04624558423611447,20.651756035289697,21.040869232291666,-0.38911319700196856
39,39,196.78391959798995,1.2530227738293769,0.8644973334722383,0.38852544035713854,5.98236199,5.936901411736112,0.04546057826388861,10.959201658819445,10.954088388680557,0.005113270138888737,15.926293046944446,15.971133785763888,-0.04484073881944184,20.653506001956362,21.04336823527778,-0.38986223332141634
40,40,201.8040201005025,1.246988518204377,0.8592980845139043,0.3876904336904726,5.976512543680555,5.930689002638889,0.04582354104166608,10.954655574375002,10.94986785611111,0.00478771826389135,15.923335589166665,15.969100081458334,-0.0457644922916689,20.6496524390397,21.04125116166667,-0.39159872262696993
