,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
56,56,282.1256281407035,1.2618395121484376,0.873249431875032,0.3885900802734056,5.880908082265625,5.879917754023438,0.000990328242187033,10.495057549921876,10.884731007851563,-0.3896734579296872
57,57,287.14572864321605,1.2609143173046875,0.8727568146484694,0.38815750265621807,5.880157982539062,5.879071765820313,0.001086216718749533,10.494869540117188,10.884015774296875,-0.3891462341796874
58,58,292.1658291457286,1.2600862905859376,0.872453110937532,0.3876331796484056,5.879601650097716,5.878566504140625,0.001035145957090755,10.496080826093753,10.8837839846875,-0.38770315859374804
59,59,297.1859296482412,1.261256701875,0.8729569244140936,0.3882997774609065,5.876956658378965,5.87758013734375,-0.0006234789647843186,10.49492003246094,10.882866095078125,-0.38794606261718556
60,60,302.20603015075375,1.2603847579687502,0.8737206164062823,0.38666414156246787,5.877799407343749,5.8770051075781256,0.0007942997656238404,10.494247927929688,10.88263518984375,-0.3883872619140618
61,61,307.2261306532663,1.2592569853125002,0.8740129321094059,0.3852440532030943,5.876666750742068,5.87677643734375,-0.00010968660168231281,10.494807652343752,10.882319248007814,-0.387511595664062
62,62,312.2462311557789,1.2590072422265628,0.873699081093781,0.38530816113278177,5.877672530371035,5.877713016523438,-4.0486152403040876e-05,10.496025096914064,10.88391384734375,-0.3878887504296866
63,63,317.26633165829145,1.2578743980078126,0.8726920387890937,0.3851823592187189,5.876066525722597,5.8765586103125,-0.0004920845899034632,10.49616826527344,10.88243315609375,-0.38626489082031057
64,64,322.286432160804,1.25639898453125,0.8709525930078443,0.38544639152340565,5.875443394277284,5.8765942734375,-0.0011508791602157231,10.496330256796874,10.882643851835937,-0.3863135950390628
65,65,327.30653266331655,1.258136501640625,0.8718245494922188,0.3863119521484062,5.875858523456971,5.876825504179688,-0.0009669807227172811,10.497327459648439,10.882718968437501,-0.3853915087890627
66,66,332.3266331658291,1.2569086043359374,0.8722850698047226,0.3846235345312148,5.877434053964904,5.876912740507812,0.000521313457091388,10.49729782703125,10.882686299648437,-0.385388472617187
67,67,337.3467336683417,1.25499430625,0.8720744507812831,0.3829198554687169,5.877938951543029,5.8774539914062505,0.00048496013677823413,10.495818067031252,10.88231079078125,-0.3864927237499991
