,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5,z_Ba_layer6,z_S_layer6,z_diff_layer6
162,162,814.2562814070351,1.2352233212709254,0.8791806581943984,0.356042663076527,5.993669990336759,5.937913385208333,0.05575660512842617,10.96212963418759,10.956782605833332,0.005347028354258043,15.977679123232498,15.973093836944441,0.004585286288056878,20.98321332948106,20.989354495972222,-0.006141166491161698,25.957670488024164,26.00615446347222,-0.04848397544805749,30.713120632130412,31.064260816805554,-0.35114018467514185
163,163,819.2763819095477,1.238197433231064,0.8805320890971807,0.3576653441338832,5.997449141854074,5.941905068194444,0.05554407365962977,10.965961885309165,10.962613633194444,0.0033482521147210065,15.985905739124815,15.983425557638887,0.0024801814859287674,20.99377683357828,21.002566764861108,-0.008789931282827013,25.965710368590184,26.018210432430553,-0.05250006384036965,30.722498866713742,31.072884296111106,-0.35038542939736317
164,164,824.2964824120602,1.2275898980869437,0.8695151804860595,0.3580747176008843,5.98546305130898,5.931074565208332,0.05438848610064806,10.953769500677312,10.950796855694442,0.0029726449828704204,15.975820858098839,15.972919112499998,0.0029017455988409324,20.988323089352637,20.993752302291664,-0.00542921293902765,25.958003478515504,26.010595975208332,-0.05259249669282795,30.718987178652956,31.068811537222214,-0.34982435856925775
165,165,829.3165829145728,1.2221513743474066,0.868991419097174,0.3531599552502326,5.985572718803749,5.931156061458332,0.05441665734541701,10.95481520177796,10.951321813541664,0.003493388236295303,15.975992574572867,15.97371035798611,0.002282216586756647,20.990581347333517,20.997527060972217,-0.006945713638700113,25.962288758926938,26.014964267569443,-0.05267550864250481,30.72577980274495,31.076302540138883,-0.35052273739393414
166,166,834.3366834170854,1.2237551426912026,0.8695287718749488,0.35422637081625374,5.987876267692638,5.931550507708333,0.056325759984305,10.961765778449859,10.953511137916665,0.00825464053319358,15.978807982756848,15.973607510208332,0.0052004725485161885,20.987643496425505,20.99704654881944,-0.00940305239393524,25.96223665240963,26.013202385763886,-0.050965733354257026,30.72291818310263,31.073026959513882,-0.3501087764112505
167,167,839.3567839195979,1.2228851916390733,0.8688996065277297,0.3539855851113436,5.9868959566405096,5.928394955208333,0.058501001432176736,10.960062549694628,10.949578573749998,0.010483975944630686,15.972322033729073,15.968082377847221,0.004239655881852045,20.983525608246755,20.992580587916663,-0.009054979669908647,25.958335586789858,26.010114278333333,-0.051778691543475475,30.71641661475884,31.07095387354166,-0.3545372587828197
168,168,844.3768844221105,1.2358491444116195,0.883782106458285,0.3520670379533345,6.005712844274167,5.942861043680555,0.06285180059361206,10.976370791553933,10.964585547430554,0.011785244123379002,15.983743424402592,15.979756152986106,0.003987271416486138,20.993650943647726,21.002211722013886,-0.008560778366160093,25.96589929045995,26.02127056972222,-0.05537127926226759,30.7265487207206,31.077939932430557,-0.3513912117099558
169,169,849.3969849246231,1.2420305068959254,0.8883465173610616,0.3536839895348638,6.009595165994583,5.948040820069443,0.0615543459251402,10.976346044609487,10.967187280138887,0.009158764470599934,15.98574307877236,15.982843585069443,0.002899493702917866,20.991203089604255,21.00238690472222,-0.011183815117963292,25.965445474899166,26.021539978749995,-0.05609450385082937,30.723463683428932,31.079935476249993,-0.35647179282106123
170,170,854.4170854271356,1.2411739161424993,0.888261541249949,0.35291237489255023,6.004141333371389,5.9459035901388875,0.058237743232501415,10.972107297611295,10.961963493055553,0.010143804555742264,15.980394953505042,15.97907121770833,0.0013237357967117447,20.988900546345597,21.000548253194445,-0.01164770684884786,25.960917208451296,26.023506059999995,-0.06258885154869986,30.722069472824856,31.082047798125,-0.35997832530014406
171,171,859.4371859296482,1.2424453352240272,0.8873189340277278,0.35512640119629946,6.005652195315834,5.945582085486111,0.060070109829723606,10.974524682798704,10.965074806944443,0.00944987585426027,15.99150263704148,15.985278162291662,0.006224474749817688,20.993466260020924,21.005221862638887,-0.01175560261796349,25.96667760371861,26.028170115277774,-0.06149251155916602,30.72659924031963,31.08456887395833,-0.3579696336386995
172,172,864.4572864321608,1.224881806890694,0.8698740545138371,0.3550077523768568,5.9936556951075,5.93058674861111,0.06306894649639005,10.964520649604257,10.952041296736109,0.012479352868147942,15.978109793857495,15.972860382222223,0.005249411635272594,20.980573192868146,20.991835329722218,-0.011262136854071514,25.95102574276208,26.01459800923611,-0.06357226647402925,30.712101797750183,31.071617928263883,-0.35951613051370046
173,173,869.4773869346733,1.2208542162761569,0.8668655134721763,0.35398870280398054,5.992576906565834,5.929545589027777,0.0630313175380568,10.962051412382035,10.950368283680554,0.011683128701481138,15.975215993451293,15.969663725902775,0.0055522675485182305,20.979520689331707,20.98878008201389,-0.00925939268218201,25.943665793168286,26.007164006944443,-0.06349821377615683,30.710324630720592,31.066703678263885,-0.3563790475432924
174,174,874.4974874371859,1.2119946655764808,0.859784490555507,0.35221017502097385,5.984690108494584,5.925477912013887,0.0592121964806962,10.961389330432361,10.94712976736111,0.01425956307125098,15.968463557676943,15.966547790277774,0.0019157673991685442,20.97452112327435,20.981580509513886,-0.0070593862395362805,25.940869278723838,25.999258163749996,-0.05838888502615802,30.706225816543466,31.05930027472222,-0.35307445817875305
175,175,879.5175879396984,1.2066720632101386,0.8560113965971681,0.3506606666129706,5.9800288671856014,5.920971194374999,0.059057672810602035,10.950519756986294,10.94067156597222,0.009848191014073748,15.954708653937404,15.958286251527776,-0.003577597590371795,20.96749694010083,20.974109136944442,-0.006612196843612139,25.92453506747384,25.990051518819442,-0.06551645134560147,30.695151516196248,31.04705823548611,-0.35190671928986106
176,176,884.537688442211,1.2101629087866195,0.8613924164582816,0.3487704923283379,5.979032966992962,5.923560841249999,0.05547212574296356,10.948778197696432,10.943397418541664,0.005380779154767978,15.956540431095416,15.96221886611111,-0.005678435015694205,20.975584340960317,20.978892586666667,-0.0033082457063500215,25.9338831379062,25.996259001944438,-0.062375864038237694,30.704714019625175,31.053997506874996,-0.3492834872498207
177,177,889.5577889447236,1.2200472347640732,0.8734420215971779,0.3466052131668953,5.987596394840185,5.932245150138888,0.055351244701297375,10.950544755602637,10.948567631805554,0.0019771237970829247,15.96100802462662,15.966887165486108,-0.005879140859487819,20.973328742109487,20.98126341958333,-0.007934677473841134,25.941791439572867,26.000672575833327,-0.05888113626046021,30.70928926683694,31.057156974791667,-0.34786770795472677
178,178,894.5778894472361,1.2234066406511568,0.8750520048610667,0.3483546357900901,5.989196324551944,5.934415469583333,0.054780854968611514,10.951449920939396,10.949813077152776,0.0016368437866205454,15.967921452831526,15.970160003680554,-0.0022385508490287975,20.975718505885645,20.982533278541663,-0.006814772656017709,25.93827944830717,25.998668985486105,-0.060389537178934916,30.709897753364714,31.05498021236111,-0.34508245899639434
179,179,899.5979899497487,1.2195628880817122,0.8683486327777297,0.35121425530398254,5.9829380430831485,5.927721523402777,0.055216519680371334,10.951305460720599,10.945095886597223,0.006209574123376527,15.963896340583144,15.962889219791666,0.0010071207914776892,20.970961310859487,20.974839973263883,-0.0038786624043964935,25.93637003905537,25.99151557006944,-0.055145531014069604,30.70662911404347,31.04908349881944,-0.34245438477596934
180,180,904.6180904522612,1.2129511163246756,0.8613059985416206,0.35164511778305496,5.978852740294908,5.922773493888887,0.056079246406020467,10.952834724395924,10.940481324374998,0.012353400020925775,15.963255025220231,15.960081470763884,0.0031735544563478157,20.967685863685784,20.97324014395833,-0.005554280272544787,25.93663829084523,25.992424386805553,-0.0557860959603218,30.706163898130235,31.051571398749996,-0.34540750061976055
181,181,909.6381909547738,1.2146193862552312,0.8618827156249522,0.352736670630279,5.980042664183796,5.921495090972221,0.058547573211575,10.956185905496573,10.941189296527776,0.014996608968797176,15.963632011406016,15.96059347381944,0.00303853758657624,20.9739864223768,20.979164233194442,-0.005177810817642126,25.943102447998008,25.99955988409722,-0.05645743609921183,30.711904825357685,31.05756533840277,-0.34566051304508605
182,182,914.6582914572864,1.215586476265694,0.8642846461110592,0.3513018301546349,5.981555645235925,5.923022307638888,0.05853333759703716,10.958957692173701,10.942213330347222,0.016744361826479093,15.959834750454721,15.959349514374999,0.00048523607972228433,20.974571297034814,20.981173787916664,-0.006602490881849832,25.94750598799801,26.00579736020833,-0.05829137221031999,30.712285104043467,31.066310949027777,-0.3540258449843101
